9039.0	9008.0	27414.0	476885.0	4716.714285714285	8746.0	57909.0	820244.0	142219.0	962791.0
13917.0	9762.0	29762.0	1.012474e6	4856.142857142857	21925.0	322718.0	805002.0	190547.0	2.53283e6
10685.0	10288.0	30661.0	1.571369e6	5057.166666666667	35473.0	1.457995e6	812560.0	220642.0	4.774375e6
10572.0	10642.0	31894.0	2.143823e6	5200.0	50726.0	3.069872e6	819752.0	248995.0	7.601613e6
11810.0	10919.0	32498.0	2.768172e6	5408.5	63723.0	5.826791e6	816999.0	282791.0	1.1189552e7
11307.0	11322.0	33591.0	3.440826e6	5473.166666666667	77199.0	8.604128e6	870090.0	311462.0	1.5195483e7
11723.0	11515.0	34832.0	4.162437e6	5753.666666666667	86128.0	1.8827907e7	840821.0	357409.0	2.1214718e7
12745.0	12083.0	35872.0	5.061865e6	5838.6	116963.0	2.4687981e7	936442.0	388201.0	2.6216443e7
12317.0	12437.0	37154.0	5.700196e6	6115.0	132847.0	3.7894506e7	873755.0	420356.0	3.2206837e7
12877.0	12715.0	38198.0	6.69741e6	6188.8	159876.0	5.1999582e7	888583.0	453922.0	4.5436061e7
